,Unnamed: 0,region,sales_price,bedroom,bathroom,parking,dimensions,latitude,longitude,mean_price,std_price,price_meter,average
156,183,"Mooca, Sao Paulo",890000,2,2,2,110,-23.5617305,-46.5971404231074,643342.642512077,438909.920585585,8090.90909090909,6811.66160035022
157,184,"Jardins, Sao Paulo",285000,1,1,2,29,-22.3436278,-49.0169154,1086111.02362205,1256021.80050732,9827.58620689655,11843.3035711004
158,185,"Ibirapuera, Sao Paulo",370000,1,1,2,45,-23.5769519,-46.6546353,7237436.84210526,6771664.72647117,8222.22222222222,16945.1480509933
159,186,"Jardins, Sao Paulo",1250000,2,1,2,94,-22.3436278,-49.0169154,1086111.02362205,1256021.80050732,13297.8723404255,11843.3035711004
160,187,"Cambuci, Sao Paulo",236000,0,1,2,24,-23.5661285,-46.6136503087109,457189.062222222,258552.543348121,9833.33333333333,6824.35402782199
161,188,"Barra Funda, Sao Paulo",1170000,4,3,2,126,-23.5254616,-46.6675134,682101.714285714,342135.47445999,9285.71428571429,8351.14093307938
162,189,"Moema, Sao Paulo",1120000,2,3,2,85,-23.59458475,-46.6618011333378,1703423.09970458,1595995.23534446,13176.4705882353,11915.5734933051
163,190,"Moema, Sao Paulo",2450001,3,5,4,230,-23.59458475,-46.6618011333378,1703423.09970458,1595995.23534446,10652.1782608696,11915.5734933051
164,191,"Moema, Sao Paulo",1748000,3,1,2,182,-23.59458475,-46.6618011333378,1703423.09970458,1595995.23534446,9604.3956043956,11915.5734933051
165,192,"Interlagos, Sao Paulo",520000,3,3,2,76,-23.7019315,-46.6967078125242,469952.666666667,202628.17918991,6842.1052631579,5883.10969158006
166,193,"Sumarezinho, Sao Paulo",650000,2,1,2,105,-21.1632261,-47.826194,809516.129032258,677170.331648187,6190.47619047619,9848.66947167505
167,195,"Higienopolis, Sao Paulo",3299000,4,1,2,300,-20.8368569,-49.3881547,2011172.37823834,1602435.53969756,10996.6666666667,10146.6353707394
168,196,"Perdizes, Sao Paulo",1200000,3,2,3,154,-23.5379295,-46.680670510854,1407561.56599789,909665.465898378,7792.20779220779,9409.53370787521
169,197,"Aclimacao, Sao Paulo",1700000,0,4,3,189,-23.5671021,-46.6268011,1215050.93518519,1056923.07590018,8994.708994709,8585.89291658446
170,198,"Vila Clementino, Sao Paulo",660000,2,2,2,55,-23.5980058,-46.6434179,998013.058823529,660247.464544192,12000.0,10366.2119191966
171,199,"Santana, Sao Paulo",470000,3,1,2,66,-23.499321,-46.6289326497014,995109.141914191,652917.387651109,7121.21212121212,7476.04391313302
